"","respondent_id","USBORN","DEGREE","SS048M1","SS044","SS045","SS046","SS047","SS003_1","SS004_1","SS008_1","SS005_1","SS006_1","SS007_1","deathexpense_special","usborn","degree","deathexpense_usd"
"290","531508_10",1,2,5,1189,NA,NA,NA,2,996,4,NA,NA,NA,0,"us-born","High school diploma",1189
"291","531968_10",1,2,2,10000,NA,NA,NA,2,2100,4,NA,NA,NA,1,"us-born","High school diploma",10000
"292","532500_20",5,2,5,17000,NA,NA,NA,2,99999998,NA,501,99999996,98,0,"foreign","High school diploma",17000
"293","532512_11",1,9,2,3000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","Degree unknown/Some College",3000
"294","532861_20",1,2,2,25000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","High school diploma",25000
"295","533591_10",5,3,5,4500,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"foreign","College degree",4500
"296","534873_20",1,2,5,18000,NA,NA,NA,2,99999998,NA,751,999,NA,0,"us-born","High school diploma",18000
"297","535246_10",5,3,5,9999998,10001,99999996,NA,5,NA,NA,NA,NA,NA,0,"foreign","College degree",14071.255
"298","535737_10",5,0,5,35000,NA,NA,NA,2,1300,4,NA,NA,NA,0,"foreign","No degree",35000
"299","535901_20",5,2,5,12000,NA,NA,NA,2,1200,4,NA,NA,NA,0,"foreign","High school diploma",12000
"300","536291_10",1,2,5,9999998,5001,6999,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",6000
"301","536353_10",5,2,7,9999998,2000,2000,NA,3,960,4,NA,NA,NA,1,"foreign","High school diploma",2000
"302","536597_10",5,2,7,29000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","High school diploma",29000
"303","536986_10",5,0,7,0,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",0
"304","537522_10",1,4,7,5000,NA,NA,NA,2,924,4,NA,NA,NA,1,"us-born","College degree",5000
"305","540308_20",1,2,5,150000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",150000
"306","540548_10",5,0,5,1100,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","No degree",1100
"307","540676_20",1,2,3,15000,NA,NA,NA,2,1275,4,NA,NA,NA,1,"us-born","High school diploma",15000
"308","540882_10",5,0,3,3000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",3000
"309","540899_10",1,0,7,9999998,2001,4999,NA,5,NA,NA,NA,NA,NA,1,"us-born","No degree",3500
"310","541014_20",1,2,5,10000,NA,NA,NA,2,900,4,NA,NA,NA,0,"us-born","High school diploma",10000
"311","541454_20",1,5,2,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","Postgraduate degree",10000
"312","541507_10",1,3,5,20000,NA,NA,NA,2,2200,4,NA,NA,NA,0,"us-born","College degree",20000
"313","541618_20",5,0,5,6000,NA,NA,NA,2,1200,4,NA,NA,NA,0,"foreign","No degree",6000
"314","541922_20",5,0,3,15000,NA,NA,NA,3,1150,4,NA,NA,NA,1,"foreign","No degree",15000
"315","541993_20",1,9,7,10700,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","Degree unknown/Some College",10700
"316","542204_20",1,5,5,20000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",20000
"317","542403_10",1,9,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Degree unknown/Some College",0
"318","542524_20",1,9,5,18000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Degree unknown/Some College",18000
"319","542570_20",1,4,5,15000,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"us-born","College degree",15000
"320","542660_10",1,2,5,8000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",8000
"321","542897_10",1,9,1,20000,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"us-born","Degree unknown/Some College",20000
"322","542978_10",5,0,7,18000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",18000
"323","543005_10",5,0,5,250,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","No degree",250
"324","543113_20",1,3,5,1300,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",1300
"325","543456_10",1,4,2,1800,NA,NA,NA,2,1500,4,NA,NA,NA,1,"us-born","College degree",1800
"326","543469_20",1,9,3,2000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","Degree unknown/Some College",2000
"327","544014_10",5,2,5,8200,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","High school diploma",8200
"328","544046_10",1,3,7,0,NA,NA,NA,2,1400,4,NA,NA,NA,1,"us-born","College degree",0
"329","544360_20",1,9,5,3500,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Degree unknown/Some College",3500
"330","544461_11",1,2,5,13000,NA,NA,NA,2,600,4,NA,NA,NA,0,"us-born","High school diploma",13000
"331","544646_10",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"332","544704_10",1,4,5,20000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",20000
"333","544857_10",1,0,1,2000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","No degree",2000
"334","545112_10",1,9,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Degree unknown/Some College",0
"335","545198_10",1,9,5,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Degree unknown/Some College",10000
"336","545587_20",1,2,5,7000,NA,NA,NA,2,400,4,NA,NA,NA,0,"us-born","High school diploma",7000
"337","545720_10",1,9,9,6000,NA,NA,NA,2,996,4,NA,NA,NA,NA,"us-born","Degree unknown/Some College",6000
"338","545739_10",1,9,5,0,NA,NA,NA,2,886,4,NA,NA,NA,0,"us-born","Degree unknown/Some College",0
"339","546089_10",1,1,2,10500,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"us-born","GED",10500
"340","546218_10",1,4,5,3000,NA,NA,NA,3,99999998,NA,1001,99999996,NA,0,"us-born","College degree",3000
"341","546350_20",5,2,7,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","High school diploma",10000
"342","546366_10",1,5,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",0
"343","546429_10",1,0,5,1500,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",1500
"344","546492_20",1,0,3,5000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","No degree",5000
"345","901276_20",1,2,5,9999998,7001,9999,NA,2,1300,4,NA,NA,NA,0,"us-born","High school diploma",8500
"346","902392_20",1,2,3,4000,NA,NA,NA,2,1900,4,NA,NA,NA,1,"us-born","High school diploma",4000
"347","902805_10",1,9,3,2000,NA,NA,NA,3,1600,4,NA,NA,NA,1,"us-born","Degree unknown/Some College",2000
"348","902841_20",5,4,3,5000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","College degree",5000
"349","903231_20",1,2,5,17000,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"us-born","High school diploma",17000
"350","903465_10",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"351","903859_10",1,3,7,11000,NA,NA,NA,2,550,4,NA,NA,NA,1,"us-born","College degree",11000
"352","904239_10",1,0,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",0
"353","904315_20",5,4,5,9999998,2001,4999,NA,5,NA,NA,NA,NA,NA,0,"foreign","College degree",3500
"354","905081_10",5,0,5,14000,NA,NA,NA,3,99999998,NA,101,349,NA,0,"foreign","No degree",14000
"355","907226_20",1,0,3,2000,NA,NA,NA,2,1400,4,NA,NA,NA,1,"us-born","No degree",2000
"356","907313_10",1,1,5,12000,NA,NA,NA,2,3200,4,NA,NA,NA,0,"us-born","GED",12000
"357","907705_10",1,2,5,9200,NA,NA,NA,2,1474,4,NA,NA,NA,0,"us-born","High school diploma",9200
