"","respondent_id","USBORN","DEGREE","SS048M1","SS044","SS045","SS046","SS047","SS003_1","SS004_1","SS008_1","SS005_1","SS006_1","SS007_1","deathexpense_special","usborn","degree","deathexpense_usd"
"464","45867_20",1,2,5,2000,NA,NA,NA,2,800,4,NA,NA,NA,0,"us-born","High school diploma",2000
"465","45992_40",1,2,5,99998,2001,4999,NA,2,500,4,NA,NA,NA,0,"us-born","High school diploma",3500
"466","46793_10",1,2,5,99998,0,1999,NA,3,99998,NA,0,99999996,98,0,"us-born","High school diploma",999.5
"467","47136_21",1,3,2,7000,NA,NA,NA,2,1700,4,NA,NA,NA,1,"us-born","College degree",7000
"468","47604_30",1,2,5,2500,NA,NA,NA,3,1500,4,NA,NA,NA,0,"us-born","High school diploma",2500
"469","47630_12",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"470","47660_10",1,2,5,680,NA,NA,NA,3,2200,4,NA,NA,NA,0,"us-born","High school diploma",680
"471","47848_40",1,2,2,2200,NA,NA,NA,3,960,4,NA,NA,NA,1,"us-born","High school diploma",2200
"472","48406_20",1,2,5,12000,NA,NA,NA,2,1000,4,NA,NA,NA,0,"us-born","High school diploma",12000
"473","48440_40",1,2,2,4300,NA,NA,NA,2,2200,4,NA,NA,NA,1,"us-born","High school diploma",4300
"474","48479_10",1,2,5,7000,NA,NA,NA,2,1800,4,NA,NA,NA,0,"us-born","High school diploma",7000
"475","48531_30",1,0,5,5000,NA,NA,NA,2,600,4,NA,NA,NA,0,"us-born","No degree",5000
"476","48962_20",1,2,5,5000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",5000
"477","49093_40",1,5,5,15000,NA,NA,NA,2,-8,-8,1001,99999996,NA,0,"us-born","Postgraduate degree",15000
"478","49178_10",1,2,5,8000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",8000
"479","49799_40",1,0,5,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",10000
"480","49801_20",1,0,5,0,NA,NA,NA,3,1200,4,NA,NA,NA,0,"us-born","No degree",0
"481","50158_10",1,2,1,2700,NA,NA,NA,2,1400,4,NA,NA,NA,1,"us-born","High school diploma",2700
"482","50181_20",1,2,5,15000,NA,NA,NA,3,99998,NA,351,649,NA,0,"us-born","High school diploma",15000
"483","50746_10",1,2,2,8000,NA,NA,NA,3,99999,NA,0,99999996,99,1,"us-born","High school diploma",8000
"484","51228_10",1,2,5,13000,NA,NA,NA,3,700,4,NA,NA,NA,0,"us-born","High school diploma",13000
"485","52255_30",1,0,1,99998,5000,5000,NA,5,NA,NA,NA,NA,NA,1,"us-born","No degree",5000
"486","52846_20",1,0,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",0
"487","52930_20",1,2,2,13000,NA,NA,NA,3,99998,NA,0,99999996,98,1,"us-born","High school diploma",13000
"488","52985_20",1,2,5,7200,NA,NA,NA,2,1600,4,NA,NA,NA,0,"us-born","High school diploma",7200
"489","53828_20",1,2,5,1000,NA,NA,NA,2,575,4,NA,NA,NA,0,"us-born","High school diploma",1000
"490","54772_10",5,3,5,2000,NA,NA,NA,3,2600,8,NA,NA,NA,0,"foreign","College degree",2000
"491","55000_40",5,0,4,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",10000
"492","55403_30",1,2,3,2000,NA,NA,NA,3,-8,-8,1001,99999996,NA,1,"us-born","High school diploma",2000
"493","56092_10",1,2,1,5000,NA,NA,NA,2,99999,NA,0,99999996,99,1,"us-born","High school diploma",5000
"494","56138_40",1,2,5,5000,NA,NA,NA,2,3100,4,NA,NA,NA,0,"us-born","High school diploma",5000
"495","56215_20",1,2,5,99998,2001,4999,NA,3,1000,4,NA,NA,NA,0,"us-born","High school diploma",3500
"496","56296_20",1,2,3,500,NA,NA,NA,2,1800,4,NA,NA,NA,1,"us-born","High school diploma",500
"497","56712_10",5,2,5,21000,NA,NA,NA,2,99998,NA,0,99999996,98,0,"foreign","High school diploma",21000
"498","56966_40",5,0,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","No degree",0
"499","57026_21",1,2,5,15000,NA,NA,NA,2,2500,4,NA,NA,NA,0,"us-born","High school diploma",15000
"500","57099_10",1,5,2,18000,NA,NA,NA,2,3000,4,NA,NA,NA,1,"us-born","Postgraduate degree",18000
"501","57253_10",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"502","57627_10",1,2,3,1500,NA,NA,NA,2,99998,NA,751,999,NA,1,"us-born","High school diploma",1500
"503","57669_40",5,2,2,1600,NA,NA,NA,2,560,4,NA,NA,NA,1,"foreign","High school diploma",1600
"504","57714_40",1,4,5,10000,NA,NA,NA,2,160,4,NA,NA,NA,0,"us-born","College degree",10000
"505","59368_40",1,3,3,1200,NA,NA,NA,2,600,4,NA,NA,NA,1,"us-born","College degree",1200
"506","59690_30",1,0,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",0
"507","60146_10",1,0,5,0,NA,NA,NA,2,1300,4,NA,NA,NA,0,"us-born","No degree",0
"508","60148_40",1,1,5,10000,NA,NA,NA,2,99998,NA,251,499,NA,0,"us-born","GED",10000
"509","60316_40",1,4,2,6000,NA,NA,NA,2,700,4,NA,NA,NA,1,"us-born","College degree",6000
"510","60424_20",1,2,3,0,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","High school diploma",0
"511","60427_20",1,4,5,2000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",2000
"512","60769_41",1,3,5,15000,NA,NA,NA,3,400,4,NA,NA,NA,0,"us-born","College degree",15000
"513","60788_40",1,0,5,5000,NA,NA,NA,3,99998,NA,651,999,NA,0,"us-born","No degree",5000
"514","60807_10",1,2,5,9000,NA,NA,NA,2,99998,NA,751,999,NA,0,"us-born","High school diploma",9000
"515","61052_10",1,0,5,2500,NA,NA,NA,3,99999,NA,1001,99999996,NA,0,"us-born","No degree",2500
"516","61213_40",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"517","61230_40",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"518","63712_10",5,0,5,20000,NA,NA,NA,3,1100,4,NA,NA,NA,0,"foreign","No degree",20000
"519","64391_40",1,0,5,2000,NA,NA,NA,2,800,4,NA,NA,NA,0,"us-born","No degree",2000
"520","64654_10",1,0,6,5000,NA,NA,NA,3,1400,4,NA,NA,NA,NA,"us-born","No degree",5000
"521","65172_10",5,0,5,99998,0,1999,NA,5,NA,NA,NA,NA,NA,0,"foreign","No degree",999.5
"522","65550_20",1,0,5,12000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",12000
"523","71012_10",1,0,5,10000,NA,NA,NA,3,1300,4,NA,NA,NA,0,"us-born","No degree",10000
"524","71875_20",1,2,5,5000,NA,NA,NA,3,2900,4,NA,NA,NA,0,"us-born","High school diploma",5000
"525","73878_10",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"526","74260_40",1,4,2,8000,NA,NA,NA,2,500,4,NA,NA,NA,1,"us-born","College degree",8000
"527","74266_10",5,5,2,15000,NA,NA,NA,2,1100,4,NA,NA,NA,1,"foreign","Postgraduate degree",15000
"528","74272_20",1,4,3,17000,NA,NA,NA,3,-8,-8,1001,99999996,NA,1,"us-born","College degree",17000
"529","74666_10",1,2,2,16400,NA,NA,NA,3,2790,4,NA,NA,NA,1,"us-born","High school diploma",16400
"530","75060_20",1,5,2,99999,5001,6999,NA,2,99998,NA,501,749,NA,1,"us-born","Postgraduate degree",6000
"531","75750_20",1,2,3,5000,NA,NA,NA,3,-8,-8,351,99999996,0,1,"us-born","High school diploma",5000
"532","75821_20",1,2,5,6000,NA,NA,NA,2,775,4,NA,NA,NA,0,"us-born","High school diploma",6000
"533","76583_11",1,0,4,6000,NA,NA,NA,2,900,4,NA,NA,NA,1,"us-born","No degree",6000
"534","76717_20",5,4,1,10000,NA,NA,NA,3,3000,4,NA,NA,NA,1,"foreign","College degree",10000
"535","77518_10",1,2,5,2500,NA,NA,NA,3,-8,-8,650,650,NA,0,"us-born","High school diploma",2500
"536","77532_40",1,1,2,12000,NA,NA,NA,3,831,4,NA,NA,NA,1,"us-born","GED",12000
"537","77866_10",1,2,5,3000,NA,NA,NA,3,1600,4,NA,NA,NA,0,"us-born","High school diploma",3000
"538","78443_11",1,4,5,2400,NA,NA,NA,2,997,4,NA,NA,NA,0,"us-born","College degree",2400
"539","78478_20",1,5,5,16000,NA,NA,NA,2,2000,4,NA,NA,NA,0,"us-born","Postgraduate degree",16000
"540","78509_10",1,2,5,9500,NA,NA,NA,2,1200,4,NA,NA,NA,0,"us-born","High school diploma",9500
"541","78582_20",1,5,5,20000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",20000
"542","78875_11",1,2,5,9000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",9000
"543","79778_10",1,2,5,3000,NA,NA,NA,2,750,4,NA,NA,NA,0,"us-born","High school diploma",3000
"544","80248_10",1,2,5,0,NA,NA,NA,3,1268,4,NA,NA,NA,0,"us-born","High school diploma",0
"545","80614_30",5,2,5,5000,NA,NA,NA,2,1600,4,NA,NA,NA,0,"foreign","High school diploma",5000
"546","81059_20",1,4,2,10000,NA,NA,NA,2,1550,4,NA,NA,NA,1,"us-born","College degree",10000
"547","81287_40",1,2,5,10000,NA,NA,NA,3,842,4,NA,NA,NA,0,"us-born","High school diploma",10000
"548","81448_20",1,2,5,5000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",5000
"549","81752_11",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"550","83473_10",1,2,5,10000,NA,NA,NA,2,-8,8,1000,1000,NA,0,"us-born","High school diploma",10000
"551","83705_20",1,2,5,5000,NA,NA,NA,2,99998,NA,1000,1000,NA,0,"us-born","High school diploma",5000
"552","83714_30",1,2,5,6000,NA,NA,NA,2,4000,4,NA,NA,NA,0,"us-born","High school diploma",6000
"553","84135_10",1,2,5,12000,NA,NA,NA,2,570,4,NA,NA,NA,0,"us-born","High school diploma",12000
"554","84164_40",1,2,5,20000,NA,NA,NA,3,1500,4,NA,NA,NA,0,"us-born","High school diploma",20000
"555","84180_30",1,2,5,0,NA,NA,NA,3,99999,NA,0,99999996,99,0,"us-born","High school diploma",0
"556","84635_40",1,2,5,13000,NA,NA,NA,3,99998,NA,0,99999996,98,0,"us-born","High school diploma",13000
"557","85196_10",1,1,5,11400,NA,NA,NA,3,1100,4,NA,NA,NA,0,"us-born","GED",11400
"558","85217_30",1,2,2,30000,NA,NA,NA,3,3000,4,NA,NA,NA,1,"us-born","High school diploma",30000
"559","85482_10",1,2,5,5000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",5000
"560","85616_20",1,2,5,8000,NA,NA,NA,2,650,4,NA,NA,NA,0,"us-born","High school diploma",8000
"561","86083_20",1,4,5,3000,NA,NA,NA,3,800,4,NA,NA,NA,0,"us-born","College degree",3000
"562","86421_40",1,2,5,16000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",16000
"563","86560_40",1,2,5,2000,NA,NA,NA,3,1000,4,NA,NA,NA,0,"us-born","High school diploma",2000
"564","86735_21",1,2,1,10000,NA,NA,NA,3,1360,4,NA,NA,NA,1,"us-born","High school diploma",10000
"565","86777_30",1,4,5,1000,NA,NA,NA,3,1400,4,NA,NA,NA,0,"us-born","College degree",1000
"566","87363_30",1,5,5,500,NA,NA,NA,3,800,4,NA,NA,NA,0,"us-born","Postgraduate degree",500
"567","87469_20",1,2,5,25000,NA,NA,NA,2,1400,4,NA,NA,NA,0,"us-born","High school diploma",25000
"568","90924_20",1,2,5,975,NA,NA,NA,2,188,4,NA,NA,NA,0,"us-born","High school diploma",975
"569","110780_20",1,5,5,8000,NA,NA,NA,3,2700,4,NA,NA,NA,0,"us-born","Postgraduate degree",8000
"570","111919_21",1,9,5,2800,NA,NA,NA,2,2100,4,NA,NA,NA,0,"us-born","Degree unknown/Some College",2800
"571","113083_20",1,4,5,7000,NA,NA,NA,3,1600,4,NA,NA,NA,0,"us-born","College degree",7000
"572","116027_10",1,6,5,4500,NA,NA,NA,2,1100,4,NA,NA,NA,0,"us-born","Postgraduate degree",4500
"573","116968_20",1,2,2,13000,NA,NA,NA,2,903,4,NA,NA,NA,1,"us-born","High school diploma",13000
"574","117258_10",1,3,7,99998,10001,99999996,NA,2,500,4,NA,NA,NA,1,"us-born","College degree",14071.255
"575","120165_20",1,2,5,3000,NA,NA,NA,2,1400,4,NA,NA,NA,0,"us-born","High school diploma",3000
"576","120359_10",1,4,5,10000,NA,NA,NA,2,2200,4,NA,NA,NA,0,"us-born","College degree",10000
"577","121665_20",1,2,5,8800,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",8800
"578","122031_20",1,2,2,5600,NA,NA,NA,2,2000,4,NA,NA,NA,1,"us-born","High school diploma",5600
"579","122131_10",1,0,5,1000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",1000
"580","124483_10",1,2,5,4500,NA,NA,NA,2,900,4,NA,NA,NA,0,"us-born","High school diploma",4500
"581","133126_10",1,2,5,1400,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",1400
"582","133201_20",1,4,5,10000,NA,NA,NA,3,12000,6,NA,NA,NA,0,"us-born","College degree",10000
"583","133891_10",1,5,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",0
"584","137440_10",1,5,5,99998,10001,99999996,NA,2,99998,NA,0,99999996,98,0,"us-born","Postgraduate degree",14071.255
"585","138648_11",5,9,6,2000,NA,NA,NA,3,99998,NA,351,99999996,98,NA,"foreign","Degree unknown/Some College",2000
"586","138875_20",1,2,2,7000,NA,NA,NA,2,1083,4,NA,NA,NA,1,"us-born","High school diploma",7000
"587","145797_10",1,2,3,3000,NA,NA,NA,2,1500,4,NA,NA,NA,1,"us-born","High school diploma",3000
"588","148613_10",1,2,3,8000,NA,NA,NA,2,1200,4,NA,NA,NA,1,"us-born","High school diploma",8000
"589","150370_10",1,2,5,3000,NA,NA,NA,3,1590,4,NA,NA,NA,0,"us-born","High school diploma",3000
"590","150990_20",1,2,2,8000,NA,NA,NA,3,1200,4,NA,NA,NA,1,"us-born","High school diploma",8000
"591","151243_20",1,1,5,6500,NA,NA,NA,2,1025,4,NA,NA,NA,0,"us-born","GED",6500
"592","152236_20",1,2,5,3250,NA,NA,NA,3,2088,4,NA,NA,NA,0,"us-born","High school diploma",3250
"593","152556_20",1,2,5,12000,NA,NA,NA,3,2200,4,NA,NA,NA,0,"us-born","High school diploma",12000
"594","152901_20",5,4,5,1500,NA,NA,NA,2,289,4,NA,NA,NA,0,"foreign","College degree",1500
"595","152955_20",1,2,5,13050,NA,NA,NA,3,623,4,NA,NA,NA,0,"us-born","High school diploma",13050
"596","153601_10",1,2,5,2500,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",2500
"597","154099_20",1,4,3,6000,NA,NA,NA,3,99999,NA,351,99999996,99,1,"us-born","College degree",6000
"598","154199_20",1,2,5,10000,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"us-born","High school diploma",10000
"599","154552_10",1,0,5,1000,NA,NA,NA,3,1300,4,NA,NA,NA,0,"us-born","No degree",1000
"600","159299_20",1,2,5,8000,NA,NA,NA,3,721,4,NA,NA,NA,0,"us-born","High school diploma",8000
"601","171503_20",5,3,3,15000,NA,NA,NA,2,1500,4,NA,NA,NA,1,"foreign","College degree",15000
"602","171707_20",1,2,5,5000,NA,NA,NA,2,1850,4,NA,NA,NA,0,"us-born","High school diploma",5000
"603","172749_20",1,6,5,10000,NA,NA,NA,2,99998,NA,1001,99999996,NA,0,"us-born","Postgraduate degree",10000
"604","174503_10",1,2,5,0,NA,NA,NA,3,99999,NA,351,649,NA,0,"us-born","High school diploma",0
"605","178259_12",1,4,5,5000,NA,NA,NA,2,810,4,NA,NA,NA,0,"us-born","College degree",5000
"606","178511_20",1,2,5,15000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",15000
"607","178602_20",1,2,5,9800,NA,NA,NA,3,3800,4,NA,NA,NA,0,"us-born","High school diploma",9800
"608","179842_20",1,5,5,400,NA,NA,NA,2,1700,4,NA,NA,NA,0,"us-born","Postgraduate degree",400
"609","180356_10",1,1,5,300,NA,NA,NA,2,795,4,NA,NA,NA,0,"us-born","GED",300
"610","180361_11",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"611","180805_10",1,2,5,8680,NA,NA,NA,3,892,4,NA,NA,NA,0,"us-born","High school diploma",8680
"612","183752_20",1,5,5,0,NA,NA,NA,2,1500,4,NA,NA,NA,0,"us-born","Postgraduate degree",0
"613","186438_20",1,5,5,4000,NA,NA,NA,3,1800,4,NA,NA,NA,0,"us-born","Postgraduate degree",4000
"614","190757_10",1,4,5,12000,NA,NA,NA,2,300,4,NA,NA,NA,0,"us-born","College degree",12000
"615","202612_20",1,0,5,1200,NA,NA,NA,3,2000,4,NA,NA,NA,0,"us-born","No degree",1200
"616","202973_20",1,5,5,3000,NA,NA,NA,2,600,4,NA,NA,NA,0,"us-born","Postgraduate degree",3000
"617","205144_20",1,5,5,12000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",12000
"618","205403_11",5,2,5,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","High school diploma",10000
"619","210080_10",5,2,5,8000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","High school diploma",8000
"620","210089_10",5,2,5,2050,NA,NA,NA,3,3000,4,NA,NA,NA,0,"foreign","High school diploma",2050
"621","210791_10",1,4,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",0
"622","211616_10",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"623","211701_10",5,0,5,1150,NA,NA,NA,3,1100,4,NA,NA,NA,0,"foreign","No degree",1150
"624","211858_20",1,0,2,10000,NA,NA,NA,2,99998,NA,751,99999996,98,1,"us-born","No degree",10000
"625","211887_20",1,2,5,10000,NA,NA,NA,3,1800,4,NA,NA,NA,0,"us-born","High school diploma",10000
"626","211888_20",1,2,5,3000,NA,NA,NA,2,565,4,NA,NA,NA,0,"us-born","High school diploma",3000
"627","212575_11",1,2,5,99998,2001,4999,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",3500
"628","212649_20",1,2,5,99998,10001,99999996,NA,3,1800,4,NA,NA,NA,0,"us-born","High school diploma",14071.255
"629","212665_10",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"630","213042_10",1,2,5,1200,NA,NA,NA,2,591,4,NA,NA,NA,0,"us-born","High school diploma",1200
"631","213162_10",1,2,5,200,NA,NA,NA,3,5500,4,NA,NA,NA,0,"us-born","High school diploma",200
"632","213224_20",1,2,5,99998,0,1999,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",999.5
"633","213225_20",1,2,5,99998,2001,4999,NA,2,99998,NA,500,500,NA,0,"us-born","High school diploma",3500
"634","213333_10",1,2,5,6000,NA,NA,NA,3,2000,4,NA,NA,NA,0,"us-born","High school diploma",6000
"635","213353_20",1,4,5,99998,2001,4999,NA,2,724,4,NA,NA,NA,0,"us-born","College degree",3500
"636","213378_10",1,4,5,99998,0,1999,NA,2,1000,4,NA,NA,NA,0,"us-born","College degree",999.5
"637","213467_10",1,4,5,11500,NA,NA,NA,3,700,4,NA,NA,NA,0,"us-born","College degree",11500
"638","500308_20",1,2,2,12000,NA,NA,NA,2,1500,4,NA,NA,NA,1,"us-born","High school diploma",12000
"639","500313_10",1,2,5,99999,7001,9999,NA,3,918,4,NA,NA,NA,0,"us-born","High school diploma",8500
"640","500337_10",1,5,2,8000,NA,NA,NA,2,1600,4,NA,NA,NA,1,"us-born","Postgraduate degree",8000
"641","500366_20",1,2,5,8000,NA,NA,NA,3,1800,4,NA,NA,NA,0,"us-born","High school diploma",8000
"642","500590_10",5,2,5,4000,NA,NA,NA,3,571,4,NA,NA,NA,0,"foreign","High school diploma",4000
"643","500681_10",1,3,5,600,NA,NA,NA,2,1160,4,NA,NA,NA,0,"us-born","College degree",600
"644","500722_10",1,2,2,99998,2000,2000,NA,2,99998,NA,750,750,NA,1,"us-born","High school diploma",2000
"645","500831_10",1,3,2,10000,NA,NA,NA,2,2100,4,NA,NA,NA,1,"us-born","College degree",10000
"646","500877_11",1,0,5,0,NA,NA,NA,2,99998,NA,1001,99999996,NA,0,"us-born","No degree",0
"647","500967_10",1,5,5,10000,NA,NA,NA,3,2365,4,NA,NA,NA,0,"us-born","Postgraduate degree",10000
"648","500974_10",1,5,5,3000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",3000
"649","501009_20",1,5,2,6000,NA,NA,NA,2,405,4,NA,NA,NA,1,"us-born","Postgraduate degree",6000
"650","501219_20",1,2,2,99998,7001,9999,NA,2,1900,4,NA,NA,NA,1,"us-born","High school diploma",8500
"651","501359_20",1,1,5,3700,NA,NA,NA,2,99998,NA,751,999,NA,0,"us-born","GED",3700
"652","501431_20",1,4,2,11000,NA,NA,NA,2,1000,4,NA,NA,NA,1,"us-born","College degree",11000
"653","501470_10",5,0,5,7000,NA,NA,NA,2,2400,4,NA,NA,NA,0,"foreign","No degree",7000
"654","501492_10",1,2,5,1700,NA,NA,NA,3,1091,4,NA,NA,NA,0,"us-born","High school diploma",1700
"655","501528_20",1,9,2,3000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","Degree unknown/Some College",3000
"656","501546_10",1,2,5,15000,NA,NA,NA,3,2700,4,NA,NA,NA,0,"us-born","High school diploma",15000
"657","501569_20",1,4,5,4000,NA,NA,NA,2,1600,4,NA,NA,NA,0,"us-born","College degree",4000
"658","501635_20",1,2,5,0,NA,NA,NA,2,2000,4,NA,NA,NA,0,"us-born","High school diploma",0
"659","501956_10",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"660","502049_20",1,0,5,12000,NA,NA,NA,3,99998,NA,101,349,NA,0,"us-born","No degree",12000
"661","502168_11",5,2,2,3000,NA,NA,NA,2,980,4,NA,NA,NA,1,"foreign","High school diploma",3000
"662","502297_20",1,4,2,10000,NA,NA,NA,2,99998,NA,251,499,NA,1,"us-born","College degree",10000
"663","502435_10",1,2,2,3000,NA,NA,NA,2,1600,4,NA,NA,NA,1,"us-born","High school diploma",3000
"664","502451_10",1,2,2,10000,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"us-born","High school diploma",10000
"665","502509_10",1,3,5,3000,NA,NA,NA,3,1100,4,NA,NA,NA,0,"us-born","College degree",3000
"666","502695_10",1,2,5,300,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",300
"667","502724_20",1,2,5,10000,NA,NA,NA,3,99999,NA,0,99999996,99,0,"us-born","High school diploma",10000
"668","502751_10",1,2,3,5000,NA,NA,NA,2,1450,4,NA,NA,NA,1,"us-born","High school diploma",5000
"669","520221_11",1,9,3,400,NA,NA,NA,2,2000,4,NA,NA,NA,1,"us-born","Degree unknown/Some College",400
"670","520376_20",1,2,5,8500,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",8500
"671","520722_20",1,2,5,10000,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"us-born","High school diploma",10000
"672","521033_10",1,1,5,25000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","GED",25000
"673","521102_10",1,2,5,7000,NA,NA,NA,2,2400,4,NA,NA,NA,0,"us-born","High school diploma",7000
"674","521142_11",1,2,4,10000,NA,NA,NA,2,4500,4,NA,NA,NA,1,"us-born","High school diploma",10000
"675","521670_10",1,3,5,4000,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"us-born","College degree",4000
"676","522571_20",1,2,5,1170,NA,NA,NA,3,2400,4,NA,NA,NA,0,"us-born","High school diploma",1170
"677","523342_20",1,2,7,20000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","High school diploma",20000
"678","523659_10",1,2,2,4000,NA,NA,NA,2,1500,4,NA,NA,NA,1,"us-born","High school diploma",4000
"679","527348_21",1,2,5,99998,2000,2000,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",2000
"680","527746_20",1,2,2,15000,NA,NA,NA,2,1000,4,NA,NA,NA,1,"us-born","High school diploma",15000
"681","528130_10",1,0,5,6000,NA,NA,NA,2,2800,4,NA,NA,NA,0,"us-born","No degree",6000
"682","528566_20",1,0,5,2000,NA,NA,NA,2,99998,NA,751,999,NA,0,"us-born","No degree",2000
"683","529377_10",1,2,2,3100,NA,NA,NA,8,NA,NA,NA,NA,NA,1,"us-born","High school diploma",3100
"684","529657_10",1,2,5,99998,5000,5000,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",5000
"685","530232_20",1,1,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","GED",0
"686","530333_20",5,2,3,7000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","High school diploma",7000
"687","530736_10",1,2,3,99998,5001,6999,NA,5,NA,NA,NA,NA,NA,1,"us-born","High school diploma",6000
"688","531953_10",5,0,1,8300,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",8300
"689","532166_11",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"690","532227_20",1,2,5,24000,NA,NA,NA,2,2300,4,NA,NA,NA,0,"us-born","High school diploma",24000
"691","533192_10",1,0,5,2500,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",2500
"692","533620_10",5,0,5,7000,NA,NA,NA,3,99998,NA,101,349,NA,0,"foreign","No degree",7000
"693","534191_20",5,2,5,20000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","High school diploma",20000
"694","535347_20",1,3,2,7800,NA,NA,NA,2,1000,4,NA,NA,NA,1,"us-born","College degree",7800
"695","536559_20",5,3,6,7800,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,"foreign","College degree",7800
"696","537401_10",1,1,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","GED",0
"697","537500_10",1,2,5,3000,NA,NA,NA,2,166,4,NA,NA,NA,0,"us-born","High school diploma",3000
"698","537566_10",1,0,5,3800,NA,NA,NA,3,1800,4,NA,NA,NA,0,"us-born","No degree",3800
"699","540225_20",1,0,2,600,NA,NA,NA,2,1700,4,NA,NA,NA,1,"us-born","No degree",600
"700","540304_10",1,2,3,5000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","High school diploma",5000
"701","541497_10",1,2,5,13000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",13000
"702","542430_20",1,4,4,1600,NA,NA,NA,2,796,4,NA,NA,NA,1,"us-born","College degree",1600
"703","542537_20",1,3,5,8000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",8000
"704","542586_10",1,1,5,30000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","GED",30000
